product_id,product_name,units,revenue
23173,REGENCY TEAPOT ROSES,2770.0,24918.93
21621,VINTAGE UNION JACK BUNTING,2789.0,24542.83
22111,SCOTTIE DOG HOT WATER BOTTLE,4666.0,24509.84
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5978.0,24483.66
22326,ROUND SNACK BOXES SET OF4 WOODLAND,8560.0,24438.62
48187,DOORMAT NEW ENGLAND,3830.0,24292.84
22138,BAKING SET 9 PIECE RETROSPOT,4948.0,24239.72
21731,RED TOADSTOOL LED NIGHT LIGHT,14009.0,23932.98
48185,DOORMAT FAIRY CAKE,3617.0,23888.81
23344,JUMBO BAG 50'S CHRISTMAS,10306.0,23815.75
15056N,EDWARDIAN PARASOL NATURAL,4081.0,23761.77
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4805.0,23514.17
22189,CREAM HEART CARD HOLDER,8291.0,23463.47
21733,RED HANGING HEART T-LIGHT HOLDER,7882.0,23228.74
21929,JUMBO BAG PINK VINTAGE PAISLEY,11007.0,23181.14
82482,WOODEN PICTURE FRAME WHITE FINISH,9006.0,23113.26
20713,wrongly marked. 23343 in box,11444.0,23030.96
21623,VINTAGE UNION JACK MEMOBOARD,3272.0,23010.09
22139,RETROSPOT TEA SET CERAMIC 11 PC,4527.0,22912.81
22697,GREEN REGENCY TEACUP AND SAUCER,7302.0,22826.3
22090,PAPER BUNTING RETROSPOT,7564.0,22790.96
85066,CREAM SWEETHEART MINI CHEST,1793.0,22708.95
22383,LUNCH BAG SUKI DESIGN,12552.0,22542.44
20727,LUNCH BAG  BLACK SKULL.,12240.0,22421.21
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,5424.0,22394.29
84029E,RED WOOLLY HOTTIE WHITE HEART.,4765.0,22144.98
48194,DOORMAT HEARTS,3419.0,22138.57
20712,JUMBO BAG WOODLAND ANIMALS,9773.0,22092.42
23202,mailout,10962.0,21852.81
82494L,WOODEN FRAME ANTIQUE WHITE,7013.0,21852.39
20724,RED RETROSPOT CHARLOTTE BAG,17765.0,21776.79
20728,LUNCH BAG CARS BLUE,11817.0,21750.63
22630,DOLLY GIRL LUNCH BOX,11793.0,21635.14
21523,DOORMAT FANCY FONT HOME SWEET HOME,3246.0,21601.69
23209,mailout,13189.0,21450.17
21843,smashed,2013.0,21365.25
21212,PACK OF 72 RETROSPOT CAKE CASES,36419.0,21259.1
21928,JUMBO BAG SCANDINAVIAN PAISLEY,10473.0,21154.55
21166,COOK WITH WINE METAL SIGN,10364.0,20957.64
23206,LUNCH BAG APPLE DESIGN,12183.0,20911.98
22659,LUNCH BOX I LOVE LONDON,11523.0,20818.7
22728,ALARM CLOCK BAKELIKE PINK,5364.0,20702.15
71477,COLOURED GLASS STAR T-LIGHT HOLDER,6750.0,20658.56
21479,WHITE SKULL HOT WATER BOTTLE,3918.0,20594.45
22501,reverse 21/5/10 adjustment,1604.0,19322.16
22328,ROUND SNACK BOXES SET OF 4 FRUITS,6847.0,19130.37
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,4578.0,19098.89
22467,wrongly sold (22719) barcode,7962.0,18890.47
22969,HOMEMADE JAM SCENTED CANDLES,12532.0,18788.55
15036,ASSORTED COLOURS SILK FAN,23826.0,18569.84
82486,WOOD S/3 CABINET ANT WHITE FINISH,2150.0,18467.22
20914,SET/5 RED SPOTTY LID GLASS BOWLS,6372.0,18390.2
20726,LUNCH BAG WOODLAND,9933.0,18323.38
22382,LUNCH BAG SPACEBOY DESIGN,10464.0,18092.36
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,10253.0,18069.28
22835,HOT WATER BOTTLE I AM SO POORLY,3474.0,18055.11
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,16244.0,17927.45
22865,HAND WARMER OWL DESIGN,8498.0,17910.03
21485,RETROSPOT HEART HOT WATER BOTTLE,3533.0,17708.53
22698,PINK REGENCY TEACUP AND SAUCER,5824.0,17551.76
22384,LUNCH BAG PINK POLKADOT,10515.0,17435.19
22077,6 RIBBONS RUSTIC CHARM,9183.0,17205.37
22385,JUMBO BAG SPACEBOY DESIGN,8671.0,17081.86
21754,HOME BUILDING BLOCK WORD,2780.0,17049.92
82583,HOT BATHS METAL SIGN,7306.0,17047.06
23240,SET OF 4 KNICK KNACK TINS DOILY,4186.0,17037.52
22492,MINI PAINT SET VINTAGE,26633.0,16937.82
15056BL,EDWARDIAN PARASOL BLACK,2931.0,16915.72
84997C,CHILDRENS CUTLERY POLKADOT BLUE,4068.0,16875.62
20719,WOODLAND CHARLOTTE BAG,13308.0,16759.75
22624,IVORY KITCHEN SCALES,1901.0,16528.31
22993,SET OF 4 PANTRY JELLY MOULDS,12672.0,16507.23
84978,HANGING HEART JAR T-LIGHT HOLDER,12512.0,16477.53
84078A,SET/4 WHITE RETRO STORAGE CUBES,415.0,16363.3
23301,GARDENERS KNEELING PAD KEEP CALM,8825.0,16357.05
21232,STRAWBERRY CERAMIC TRINKET POT,11854.0,16263.8
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3323.0,16164.04
85152,HAND OVER THE CHOCOLATE   SIGN,8272.0,15983.33
23313,VINTAGE CHRISTMAS BUNTING,2997.0,15833.31
22379,RECYCLING BAG RETROSPOT,6910.0,15636.99
82483,WOOD 2 DRAWER CABINET WHITE FINISH,2403.0,15240.07
22084,PAPER CHAIN KIT EMPIRE,5189.0,15122.97
22900,SET 2 TEA TOWELS I LOVE LONDON,4919.0,14975.93
22752,SET 7 BABUSHKA NESTING BOXES,1790.0,14453.47
22866,HAND WARMER SCOTTY DOG DESIGN,6632.0,14410.62
22847,"BREAD BIN, DINER STYLE, IVORY",905.0,14389.34
48184,DOORMAT ENGLISH ROSE,2038.0,14324.0
23200,mailout,7071.0,14197.28
22507,MEMO BOARD RETROSPOT  DESIGN,2960.0,14193.35
22083,PAPER CHAIN KIT RETROSPOT,4658.0,14159.54
22625,RED KITCHEN SCALES,1627.0,14141.7
22867,HAND WARMER BIRD DESIGN,6441.0,14078.69
21930,JUMBO STORAGE BAG SKULLS,6450.0,14031.16
23343,wrongly coded 20713,6081.0,13978.95
22622,BOX OF VINTAGE ALPHABET BLOCKS,1342.0,13931.31
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,55047.0,13841.85
20971,PINK BLUE FELT CRAFT TRINKET BOX,11001.0,13838.1
22941,CHRISTMAS LIGHTS 10 REINDEER,1672.0,13812.92
AMAZONFEE,AMAZON FEE,2.0,13761.09
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1811.0,13746.11
23077,DOUGHNUT LIP GLOSS,10415.0,13720.77
22551,PLASTERS IN TIN SPACEBOY,8082.0,13615.31
21524,DOORMAT SPOTTY HOME SWEET HOME,1757.0,13612.41
23356,LOVE HOT WATER BOTTLE,2386.0,13494.97
23207,LUNCH BAG ALPHABET DESIGN,7851.0,13360.2
22558,CLOTHES PEGS RETROSPOT PACK 24,8689.0,13346.04
22554,PLASTERS IN TIN WOODLAND ANIMALS,7813.0,13344.77
23108,SET OF 10 LED DOLLY LIGHTS,2221.0,13303.02
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,2845.0,13284.49
22776,SWEETHEART CAKESTAND 3 TIER,1245.0,13088.73
47566B,TEA TIME PARTY BUNTING,2581.0,12941.27
82600,NO SINGING METAL SIGN,6014.0,12835.28
22113,GREY HEART HOT WATER BOTTLE,3231.0,12805.33
22499,WOODEN UNION JACK BUNTING,2091.0,12792.25
22427,ENAMEL FLOWER JUG CREAM,2110.0,12671.06
20750,RED RETROSPOT MINI CASES,1748.0,12642.93
20749,ASSORTED COLOUR MINI CASES,1770.0,12614.17
21755,LOVE BUILDING BLOCK WORD,2034.0,12572.71
22607,WOODEN ROUNDERS GARDEN SET,1331.0,12571.37
20723,STRAWBERRY CHARLOTTE BAG,9798.0,12552.4
21790,VINTAGE SNAP CARDS,14528.0,12515.96
22188,BLACK HEART CARD HOLDER,4871.0,12487.17
22568,FELTCRAFT CUSHION OWL,3380.0,12440.14
22424,ENAMEL BREAD BIN CREAM,875.0,12383.83
22149,FELTCRAFT 6 FLOWER FRIENDS,6078.0,12373.88
23174,REGENCY SUGAR BOWL GREEN,3057.0,12350.73
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24854.0,12245.02
47590B,PINK HAPPY BIRTHDAY BUNTING,2339.0,12201.4
48188,DOORMAT WELCOME PUPPIES,2065.0,12114.97
22273,FELTCRAFT DOLL MOLLY,4514.0,12016.34
22191,IVORY DINER WALL CLOCK,1452.0,11971.15
22158,3 HEARTS HANGING DECORATION RUSTIC,3463.0,11944.88
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,3040.0,11928.45
22087,PAPER BUNTING WHITE LACE,4089.0,11893.23
22193,RED DINER WALL CLOCK,1403.0,11882.57
23300,GARDENERS KNEELING PAD CUP OF TEA,6827.0,11815.69
21936,RED RETROSPOT PICNIC BAG,3987.0,11671.09
23581,JUMBO BAG PAISLEY PARK,5035.0,11613.03
22692,DOORMAT WELCOME TO OUR HOME,1524.0,11555.56
21217,RED RETROSPOT ROUND CAKE TINS,1089.0,11532.39
22730,ALARM CLOCK BAKELIKE IVORY,2892.0,11479.65
21481,FAWN BLUE HOT WATER BOTTLE,3313.0,11466.37
22356,CHARLOTTE BAG PINK POLKADOT,9719.0,11420.29
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",2133.0,11407.56
22041,"RECORD FRAME 7"" SINGLE SIZE",4374.0,11354.56
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,978.0,11338.27
21080,SET/20 RED RETROSPOT PAPER NAPKINS,13210.0,11319.36
85014B,RED RETROSPOT UMBRELLA,1940.0,11295.01
22605,WOODEN CROQUET GARDEN SET,782.0,11276.21
22570,FELTCRAFT CUSHION RABBIT,3092.0,11227.47
23170,REGENCY TEA PLATE ROSES,6869.0,11117.05
22413,METAL SIGN TAKE IT OR LEAVE IT,3777.0,11104.79
22662,LUNCH BAG DOLLY GIRL DESIGN,6724.0,11090.58
B,Adjust bad debt,1.0,11062.06
20711,lost in space,5007.0,11014.62
22988,SOLDIERS EGG CUP,9137.0,10938.31
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1359.0,10910.61
71459,HANGING JAM JAR T-LIGHT HOLDERS,13605.0,10858.89
84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,2679.0,10812.62
22617,"mouldy, thrown away.",2209.0,10745.05
22846,BREAD BIN DINER STYLE RED,665.0,10676.62
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,3265.0,10621.6
21791,VINTAGE HEADS AND TAILS CARD GAME,7889.0,10535.65
21891,TRADITIONAL WOODEN SKIPPING ROPE,8145.0,10526.0
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16449.0,10518.25
47590A,BLUE HAPPY BIRTHDAY BUNTING,1992.0,10502.65
23208,LUNCH BAG VINTAGE LEAF DESIGN,6342.0,10498.01
22992,REVOLVER WOODEN RULER,5236.0,10379.84
22169,FAMILY ALBUM WHITE PICTURE FRAME,1198.0,10354.26
21914,BLUE HARMONICA IN BOX,7879.0,10343.56
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,8706.0,10297.27
48173C,DOORMAT BLACK FLOCK,1817.0,10278.06
23582,VINTAGE DOILY JUMBO BAG RED,4815.0,10233.45
22970,LONDON BUS COFFEE MUG,4367.0,10224.75
22569,FELTCRAFT CUSHION BUTTERFLY,2765.0,10133.33
21218,RED SPOTTY BISCUIT TIN,2433.0,10116.49
22556,PLASTERS IN TIN CIRCUS PARADE,6118.0,10070.11
22633,HAND WARMER UNION JACK,4867.0,10057.32
22621,TRADITIONAL KNITTING NANCY,6150.0,10056.95
23171,REGENCY TEA PLATE GREEN,6247.0,10051.99
20679,EDWARDIAN PARASOL RED,1710.0,10021.42
23076,ICE CREAM SUNDAE LIP GLOSS,8100.0,9965.76
22791,T-LIGHT GLASS FLUTED ANTIQUE,8027.0,9963.88
22690,DOORMAT HOME SWEET HOME BLUE,1621.0,9959.6
22619,SET OF 6 SOLDIER SKITTLES,2487.0,9921.29
22654,DELUXE SEWING KIT,1412.0,9898.95
22555,PLASTERS IN TIN STRONGMAN,6023.0,9863.28
22766,PHOTO FRAME CORNICE,3297.0,9843.59
21314,SMALL GLASS HEART TRINKET POT,4252.0,9811.58
22838,3 TIER CAKE TIN RED AND CREAM,689.0,9765.11
22561,WOODEN SCHOOL COLOURING SET,5888.0,9749.82
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,3938.0,9748.13
22844,VINTAGE CREAM DOG FOOD CONTAINER,1006.0,9686.82
22144,CHRISTMAS CRAFT LITTLE FRIENDS,4082.0,9681.18
22560,TRADITIONAL MODELLING CLAY,8168.0,9602.32
23175,REGENCY MILK JUG PINK,3164.0,9600.15
22978,PANTRY ROLLING PIN,2465.0,9568.73
22456,NATURAL SLATE CHALKBOARD LARGE,1731.0,9554.47
35970,ZINC FOLKART SLEIGH BELLS,5070.0,9546.53
22952,72 CAKE CASES VINTAGE CHRISTMAS,16079.0,9524.72
21174,POTTERING IN THE SHED METAL SIGN,4179.0,9413.82
84375,SET OF 20 KIDS COOKIE CUTTERS,4321.0,9404.15
85150,LADIES & GENTLEMEN METAL SIGN,4039.0,9388.53
21155,RED RETROSPOT PEG BAG,3157.0,9301.4
23319,BOX OF 6 MINI 50'S CRACKERS,3739.0,9266.84
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2375.0,9264.91
22966,GINGERBREAD MAN COOKIE CUTTER,7448.0,9212.15
84991,60 TEATIME FAIRY CAKE CASES,18214.0,9183.72
23318,BOX OF 6 MINI VINTAGE CRACKERS,3811.0,9167.39
20972,PINK CREAM FELT CRAFT TRINKET BOX,7362.0,9159.31
23080,RED METAL BOX TOP SECRET,1079.0,9158.87
48116,DOORMAT MULTICOLOUR STRIPE,1492.0,9088.63
22729,ALARM CLOCK BAKELIKE ORANGE,2326.0,9080.2
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,6635.0,9050.44
22759,SET OF 3 NOTEBOOKS IN PARCEL,5445.0,9043.94
22989,SET 2 PANTRY DESIGN TEA TOWELS,2815.0,9012.27
22632,HAND WARMER RED RETROSPOT,4474.0,8995.43
23439,HAND WARMER RED LOVE HEART,4027.0,8941.61
23322,mouldy,3085.0,8925.41
82582,AREA PATROLLED METAL SIGN,4367.0,8862.99
21889,WOODEN BOX OF DOMINOES,6402.0,8862.29
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,10557.0,8754.63
22947,WOODEN ADVENT CALENDAR RED,746.0,8714.24
23256,KIDS CUTLERY SPACEBOY,2115.0,8675.37
22147,FELTCRAFT BUTTERFLY HEARTS,6230.0,8626.94
22652,TRAVEL SEWING KIT,5096.0,8620.32
23534,WALL ART STOP FOR TEA,1388.0,8614.85
22795,SWEETHEART RECIPE BOOK STAND,1212.0,8578.0
23082,SET 6 PAPER TABLE LANTERN HEARTS,2333.0,8577.51
23078,ICE CREAM PEN LIP GLOSS,6831.0,8553.34
21035,SET/2 RED RETROSPOT TEA TOWELS,2603.0,8549.85
84378,SET OF 3 HEART COOKIE CUTTERS,6350.0,8540.9
21484,CHICK GREY HOT WATER BOTTLE,1881.0,8535.52
23493,VINTAGE DOILY TRAVEL SEWING KIT,3970.0,8509.68
23321,SMALL WHITE HEART OF WICKER,4737.0,8473.27
23535,WALL ART BICYCLE SAFTEY,1329.0,8469.99
71053,WHITE MOROCCAN METAL LANTERN,1950.0,8441.82
21213,PACK OF 72 SKULL CAKE CASES,15176.0,8418.44
21210,SET OF 72 RETROSPOT PAPER  DOILIES,5812.0,8374.19
22768,FAMILY PHOTO FRAME CORNICE,868.0,8268.54
72741,GRAND CHOCOLATECANDLE,5978.0,8225.0
22192,BLUE DINER WALL CLOCK,954.0,8189.29
84970S,HANGING HEART ZINC T-LIGHT HOLDER,9143.0,8168.9
22725,ALARM CLOCK BAKELIKE CHOCOLATE,1984.0,8168.6
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,5805.0,8161.46
22804,Wrongly mrked had 85123a in box,3142.0,8135.4
22655,VINTAGE RED KITCHEN CABINET,60.0,8125.0
22667,RECIPE BOX RETROSPOT,2901.0,8101.15
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,8987.0,8050.53
21121,SET/10 RED POLKADOT PARTY CANDLES,6634.0,8033.85
22616,PACK OF 12 LONDON TISSUES,26135.0,7980.92
22940,FELTCRAFT CHRISTMAS FAIRY,1930.0,7954.0
21770,OPEN CLOSED METAL SIGN,1641.0,7938.78
22487,WHITE WOOD GARDEN PLANT LADDER,785.0,7919.23
22352,LUNCH BOX WITH CUTLERY RETROSPOT,3093.0,7873.72
22968,water damage,795.0,7861.93
21136,sold as set on dotcom,4709.0,7830.32
23238,SET OF 4 KNICK KNACK TINS LONDON,1862.0,7825.56
22557,PLASTERS IN TIN VINTAGE PAISLEY,4721.0,7777.09
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2446.0,7773.7
23007,SPACEBOY BABY GIFT SET,499.0,7758.7
21908,CHOCOLATE THIS WAY METAL SIGN,3773.0,7756.42
23204,CHARLOTTE BAG APPLES DESIGN,7976.0,7741.94
48111,DOORMAT 3 SMILEY CATS,1175.0,7732.93
21258,VICTORIAN SEWING BOX LARGE,532.0,7674.8
84406B,incorrectly made-thrown away.,2016.0,7657.32
84949,SILVER HANGING T-LIGHT HOLDER,4801.0,7642.44
21231,SWEETHEART CERAMIC TRINKET BOX,6063.0,7628.53
22991,GIRAFFE WOODEN RULER,3889.0,7608.79
21955,DOORMAT UNION JACK GUNS AND ROSES,1230.0,7597.02
22750,FELTCRAFT PRINCESS LOLA DOLL,2020.0,7563.08
22585,PACK OF 6 BIRDY GIFT TAGS,6232.0,7561.64
22627,MINT KITCHEN SCALES,855.0,7547.39
21668,RED STRIPE CERAMIC DRAWER KNOB,5528.0,7527.66
22367,CHILDRENS APRON SPACEBOY DESIGN,3755.0,7520.28
22381,TOY TIDY PINK POLKADOT,3441.0,7437.94
84836,ZINC METAL HEART DECORATION,5944.0,7426.82
22741,FUNKY DIVA PEN,8547.0,7363.86
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,1875.0,7356.18
84030E,ENGLISH ROSE HOT WATER BOTTLE,1614.0,7330.7
21169,YOU'RE CONFUSING ME METAL SIGN,4424.0,7320.36
23083,SET 6 PAPER TABLE LANTERN STARS,1933.0,7254.65
20969,RED FLORAL FELTCRAFT SHOULDER BAG,1962.0,7236.93
22179,SET 10 NIGHT OWL LIGHTS,967.0,7232.95
22631,CIRCUS PARADE LUNCH BOX,3681.0,7207.37
22634,CHILDS BREAKFAST SET SPACEBOY,766.0,7191.15
22485,SET OF 2 WOODEN MARKET CRATES,526.0,7190.35
22553,PLASTERS IN TIN SKULLS,4269.0,7176.67
22767,TRIPLE PHOTO FRAME CORNICE,774.0,7173.55
21787,RAIN PONCHO RETROSPOT,8878.0,7163.65
22834,HAND WARMER BABUSHKA DESIGN,4970.0,7136.23
21669,BLUE STRIPE CERAMIC DRAWER KNOB,5285.0,7136.0
22950,SET OF 36 VINTAGE CHRISTMAS DOILIES,5210.0,7133.0
22637,PIGGY BANK RETROSPOT,2764.0,7121.38
21259,VICTORIAN SEWING BOX SMALL,1184.0,7106.95
23236,STORAGE TIN VINTAGE DOILY,2509.0,7106.21
22505,MEMO BOARD COTTAGE DESIGN,1461.0,7104.22
23320,GIANT 50'S CHRISTMAS CRACKER,2668.0,7072.16
21912,VINTAGE SNAKES & LADDERS,1790.0,7062.7
22663,JUMBO BAG DOLLY GIRL DESIGN,3420.0,7053.28
C2,CARRIAGE,142.0,7051.0
22333,RETROSPOT PARTY BAG + STICKER SET,4494.0,7047.24
22946,WOODEN ADVENT CALENDAR CREAM,454.0,7047.17
23215,JINGLE BELL HEART ANTIQUE SILVER,3567.0,7044.64
23543,WALL ART KEEP CALM,1237.0,7019.01
22839,3 TIER CAKE TIN GREEN AND CREAM,447.0,7011.57
23283,DOORMAT VINTAGE LEAVES DESIGN,994.0,7003.38
23293,SET OF 12 FAIRY CAKE BAKING CASES,8486.0,7001.99
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1068.0,6977.6
21922,UNION STRIPE WITH FRINGE  HAMMOCK,899.0,6952.31
21877,HOME SWEET HOME MUG,5418.0,6942.33
21165,check,4156.0,6939.08
21094,SET/6 RED SPOTTY PAPER PLATES,8758.0,6933.26
23254,KIDS CUTLERY DOLLY GIRL,1710.0,6932.16
22109,FULL ENGLISH BREAKFAST PLATE,1642.0,6928.65
22840,ROUND CAKE TIN VINTAGE RED,916.0,6927.64
85014A,BLACK/BLUE POLKADOT UMBRELLA,1182.0,6909.99
21257,VICTORIAN SEWING BOX MEDIUM,689.0,6909.37
22294,HEART FILIGREE DOVE  SMALL,5534.0,6901.33
21326,AGED GLASS SILVER T-LIGHT HOLDER,10583.0,6890.47
23109,PACK OF SIX LED TEA LIGHTS,2401.0,6878.37
22580,ADVENT CALENDAR GINGHAM SACK,1313.0,6860.09
23103,JINGLE BELL HEART DECORATION,4080.0,6859.36
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,6266.0,6831.75
75049L,LARGE CIRCULAR MIRROR MOBILE,7114.0,6827.98
23541,WALL ART CLASSIC PUDDINGS,872.0,6823.91
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,5022.0,6815.9
23297,SET 40 HEART SHAPE PETIT FOUR CASES,4303.0,6792.23
22620,4 TRADITIONAL SPINNING TOPS,4894.0,6789.46
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,1361.0,6785.17
23008,DOLLY GIRL BABY GIFT SET,435.0,6753.51
23229,VINTAGE DONKEY TAIL GAME,1869.0,6739.71
47591D,PINK FAIRY CAKE CHILDRENS APRON,3345.0,6732.49
23480,MINI LIGHTS WOODLAND MUSHROOMS,1800.0,6726.64
23247,BISCUIT TIN 50'S CHRISTMAS,2206.0,6715.93
22668,PINK BABY BUNTING,2190.0,6710.42
21533,RETROSPOT LARGE MILK JUG,1361.0,6701.22
21871,SAVE THE PLANET MUG,5454.0,6681.21
84988,SET OF 72 PINK HEART PAPER DOILIES,4312.0,6672.7
23169,smashed,1558.0,6671.14
21888,check,1690.0,6667.04
82001S,VINYL RECORD FRAME SILVER,1704.0,6660.33
20718,RED RETROSPOT SHOPPER BAG,4776.0,6613.04
84992,72 SWEETHEART FAIRY CAKE CASES,13360.0,6555.33
22508,DOORSTOP RETROSPOT HEART,1599.0,6544.63
21122,SET/10 PINK POLKADOT PARTY CANDLES,5331.0,6496.04
23311,VINTAGE CHRISTMAS STOCKING,2390.0,6488.2
22141,CHRISTMAS CRAFT TREE TOP ANGEL,2796.0,6474.29
23553,LANDMARK FRAME CAMDEN TOWN,569.0,6457.15
23188,VINTAGE  2 METRE FOLDING RULER,3473.0,6451.07
20676,RED RETROSPOT BOWL,5076.0,6441.06
23571,TRADITIONAL NAUGHTS & CROSSES,2859.0,6436.61
23134,LARGE ZINC HEART WALL ORGANISER,1065.0,6431.11
22635,CHILDS BREAKFAST SET DOLLY GIRL,682.0,6422.28
22784,LANTERN CREAM GAZEBO,1281.0,6405.54
22979,PANTRY WASHING UP BRUSH,4097.0,6401.97
23307,SET OF 60 PANTRY DESIGN CAKE CASES,12063.0,6379.59
23172,REGENCY TEA PLATE PINK,3871.0,6360.91
22303,COFFEE MUG APPLES DESIGN,2822.0,6353.55
22895,SET OF 2 TEA TOWELS APPLE AND PEARS,2063.0,6349.95
22151,PLACE SETTING WHITE HEART,15150.0,6332.29
21154,RED RETROSPOT OVEN GLOVE,4035.0,6321.76
21380,WOODEN HAPPY BIRTHDAY GARLAND,2168.0,6316.36
21935,SUKI  SHOULDER BAG,3393.0,6298.61
22826,LOVE SEAT ANTIQUE WHITE METAL,58.0,6210.0
23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,3533.0,6142.29
21670,BLUE SPOT CERAMIC DRAWER KNOB,4370.0,6141.29
21975,PACK OF 60 DINOSAUR CAKE CASES,12340.0,6117.91
23118,PARISIENNE JEWELLERY DRAWER,813.0,6102.18
21156,RETROSPOT CHILDRENS APRON,3171.0,6093.05
21671,RED SPOT CERAMIC DRAWER KNOB,4421.0,6078.54
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,4395.0,6071.75
47556B,TEA TIME TEA TOWELS,2600.0,6045.0
17003,BROCADE RING PURSE,23056.0,6036.39
22366,DOORMAT AIRMAIL,800.0,6034.9
